areal_mass_kg_m2,exhaust_m_s,specific_power_W_kg,closed,cant_deg,total_mass_kg,power_mass_fraction,fuel_buffer_fraction,energy_storage_mass_kg,propellant_kg_s,mean_power_W,peak_power_W,power_system_mass_kg,fuel_buffer_mass_kg,Gyr_propellant_kg
0.1,50000.0,300.0,True,45.0,14070783610389.543,0.2895440915511376,0.016532672330595948,0.0,384635.6727270009,686849415583930.2,1222233677364862.8,4074112257882.876,232627654865.29013,1.2138178705649603e+22
0.1,50000.0,1000.0,True,45.0,10890027934758.639,0.08686322746534127,0.016532672330595948,0.0,297687.2743326737,531584418451203.06,945942973600860.1,945942973600.8601,180041263516.40103,9.394295928480784e+21
0.1,100000.0,50.0,False,,,3.4745290986136506,0.008266336165297974,,,,,,,
0.1,100000.0,100.0,False,,,1.7372645493068253,0.008266336165297974,,,,,,,
0.1,100000.0,300.0,True,45.0,23662063813980.58,0.5790881831022752,0.008266336165297974,0.0,323410.34036226216,2310073859730444.0,4110726462746431.0,13702421542488.104,195598573851.09616,1.0206054157016126e+22
0.1,100000.0,1000.0,True,45.0,11936378544540.475,0.17372645493068253,0.008266336165297974,0.0,163145.03578938774,1165321684209912.5,2073664729253676.8,2073664729253.6768,98670117645.4217,5.148465781427183e+21
0.25,10000.0,50.0,True,45.0,42833490454216.18,0.34745290986136507,0.08266336165297973,0.0,5854431.733261123,418173695232937.44,744131044891820.8,14882620897836.414,3540760312276.327,1.8475181486556123e+23
0.25,10000.0,100.0,True,45.0,32826485957947.855,0.17372645493068253,0.08266336165297973,0.0,4486685.979726032,320477569980430.94,570282903330611.1,5702829033306.111,2713547680538.3047,1.4158904147380225e+23
0.25,10000.0,300.0,True,45.0,28402745029894.92,0.057908818310227504,0.08266336165297973,0.0,3882054.206917289,277289586208377.84,493430820434370.75,1644769401447.9026,2347866384343.5767,1.2250831384021305e+23
0.25,10000.0,1000.0,True,45.0,27123428757071.133,0.017372645493068252,0.08266336165297973,0.0,3707198.7444024496,264799910314460.7,471205712353089.7,471205712353.08966,2242113800614.6016,1.1699029509635476e+23
0.25,30000.0,50.0,False,,,1.0423587295840953,0.027554453884326577,,,,,,,
0.25,30000.0,100.0,True,45.0,54092485221261.73,0.5211793647920476,0.027554453884326577,0.0,2464432.687694896,1584278156375290.5,2819188708764040.5,28191887087640.406,1490488889517.873,7.777158098520045e+22
0.25,30000.0,300.0,True,45.0,30561569785302.438,0.17372645493068253,0.027554453884326577,0.0,1392373.2891563238,895097114457636.9,1592805952775175.8,5309353175917.253,842107365281.7446,4.39399593098796e+22
0.25,30000.0,1000.0,True,45.0,26523282566460.746,0.05211793647920476,0.027554453884326577,0.0,1208390.4866708098,776822455716949.2,1382338756018800.0,1382338756018.8,730834566338.5057,3.813390362216275e+22
0.25,50000.0,50.0,False,,,1.7372645493068253,0.016532672330595948,,,,,,,
0.25,50000.0,100.0,True,45.0,212566708535452.16,0.8686322746534126,0.016532672330595948,0.0,5810674.174288894,1.037620388265874e+16,1.846423035507388e+16,184642303550738.8,3514295740609.9233,1.8337093132253918e+23
0.25,50000.0,300.0,True,45.0,35176959025973.86,0.2895440915511376,0.016532672330595948,0.0,961589.1818175022,1717123538959825.5,3055584193412156.5,10185280644707.188,581569137163.2253,3.034544676412401e+22
0.25,50000.0,1000.0,True,45.0,27225069836896.594,0.08686322746534127,0.016532672330595948,0.0,744218.1858316843,1328961046128007.8,2364857434002150.0,2364857434002.15,450103158791.0026,2.348573982120196e+22
0.25,100000.0,50.0,False,,,3.4745290986136506,0.008266336165297974,,,,,,,
0.25,100000.0,100.0,False,,,1.7372645493068253,0.008266336165297974,,,,,,,
0.25,100000.0,300.0,True,45.0,59155159534951.44,0.5790881831022752,0.008266336165297974,0.0,808525.8509056552,5775184649326109.0,1.0276816156866076e+16,34256053856220.254,488996434627.7403,2.5515135392540306e+22
0.25,100000.0,1000.0,True,45.0,29840946361351.184,0.17372645493068253,0.008266336165297974,0.0,407862.58947346936,2913304210524781.5,5184161823134191.0,5184161823134.191,246675294113.5543,1.2871164453567957e+22
