case,shield,dry_pressure_pa,base,base_pressure_pa,base_temperature_k,deposited_heat_w_m2,heat_source,atomic_o_fraction_at_top,status,exobase_temperature_k,exobase_radius_R,molecular_loss_kg_s,jeans_lambda_N2,atomic_o_fraction_at_base,jeans_lambda_O,atomic_o_loss_mixed_kg_s,atomic_o_loss_eddy_kg_s,atomic_o_loss_separated_kg_s,atomic_o_fraction_at_exobase_eddy,atomic_o_fraction_at_exobase_separated,homopause_pa,flags
moon_1.2atm_titania_stack,titania_stack,121590.0,line_by_line_corrected_top,0.1,127.41,0.0,swept,3.42443e-21,converged,127.41,1.6465183582297178,8.67938809884859e-15,45.321671137230055,3.42443000000001e-21,25.88570963166487,4.367234720679724e-27,6.153465042721047e-26,2.6491725535828125e-24,4.825046429601017e-20,2.077265489008031e-18,1.995329375368139e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,line_by_line_corrected_top,0.1,127.41,1e-06,swept,3.42443e-21,converged,141.22286263253216,1.6883910994355618,1.688849530741904e-12,39.87474728220915,3.42443000000001e-21,22.774670568918673,8.23295821677326e-26,1.2718845503017606e-24,5.1064487401742227e-23,5.290297236923076e-20,2.1239845750326682e-18,2.3652862649036764e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,line_by_line_corrected_top,0.1,127.41,3e-06,swept,3.42443e-21,converged,169.15388709008974,1.781163814952021,5.0464974192951656e-09,31.55659690805672,3.42443000000001e-21,18.02371545506462,6.964049160266337e-24,1.2731947671714834e-22,4.528972100093444e-21,6.260677166699253e-20,2.227030219317105e-18,3.091043813059574e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_titania_stack,titania_stack,121590.0,line_by_line_corrected_top,0.1,127.41,1e-05,swept,3.42443e-21,converged,271.0241042847977,2.2555259400914065,0.018532850238966385,15.553218178382343,3.42443000000001e-21,8.883301950285128,2.665242601518992e-20,8.157005920032878e-19,2.1364579490077203e-17,1.0480507765716511e-19,2.7450224194040957e-18,6.235285038267068e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,0.3,166.91,0.0,swept,7.4441e-07,converged,166.90621571515,2.0230104173319203,1.3636215146724707e-07,28.15823172656118,6.941057172354499e-07,16.082721398508525,8.888502834371733e-09,1.859670127211928e-07,1.052487276412961e-05,1.4522216975374504e-05,0.0008218903109878349,3.2537421435925386e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,0.3,166.91,1e-06,swept,7.4441e-07,converged,182.18252661003442,2.1036983371429616,3.3040491701511707e-06,24.807661293093116,6.941057172354499e-07,14.169025562391202,5.120586162066386e-08,1.1764991442480722e-06,6.276985772549682e-05,1.5947681700871145e-05,0.0008508580021577277,3.727689490066319e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,0.3,166.91,3e-06,swept,7.4441e-07,converged,213.2275313089381,2.293516863453856,0.0005222305443008651,19.441545751654132,6.941057172354499e-07,11.104140590805331,8.094505921961156e-07,2.2295492649331512e-05,0.0010711502389840182,1.9118435474234017e-05,0.000918513757436094,4.681752209770464e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,0.3,166.91,1e-05,swept,7.4441e-07,converged,316.7107341005858,3.4455024075899274,9.82756627255532,8.712858631616818,6.941057172354499e-07,4.976394800555058,0.00015032529195634574,0.0076940551225566966,0.28525560427924296,3.552620839640327e-05,0.0013171272992516378,8.388723926271086e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO KINETIC_ESCAPE_SENSITIVITY_REQUIRED
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,0.3,166.91,1.6751049043095798e-06,"leak 0.1%, quiet Sun",7.4441e-07,converged,192.58435907377503,2.163101185190359,2.163300394798848e-05,22.823285363526338,6.941057172354499e-07,13.035638866271903,1.431398777684453e-07,3.4985414500469653e-06,0.00017984677399452215,1.696492731669862e-05,0.0008721027012324903,3.996101646172514e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
moon_1.2atm_edge_310nm,edge_310nm,121590.0,middle_atmosphere,0.3,166.91,4.18776226077395e-06,"leak 0.1%, solar maximum",7.4441e-07,converged,232.01970459267207,2.4296143062404867,0.005789317239603902,16.866066273705922,6.941057172354499e-07,9.633142009870085,2.9677260042880444e-06,9.093912834100803e-05,0.004132916564372521,2.1269271088604014e-05,0.0009666259661583063,5.2873739137635754e-05,MOLECULAR_LIMIT_ONLY PRESCRIBED_LOWER_ATMOSPHERE NO_IR_COOLING NET_HEATING_INPUT_NOT_SPECTRAL_PREDICTION FIXED_MIXING_RATIO
