key,sweep,scenario,planet,dry_pressure_pa,co2_ppm,humidity,stratosphere_k,surface_albedo,ts_k,surface_pressure_pa,olr,asr,albedo,net_toa,surface_down_lw,surface_up_lw,surface_sw,atmosphere_sw,sw_longward_of_grid,water_column_kg_m2,air_column_kg_m2,tropopause_pa,tropopause_height_km,stratospheric_h2o,seconds
moon_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=300,earthlike_humidity,moon_1.0atm,moon,101325.0,400.0,manabe_wetherald,200.0,0.13,300.0,104048.27254160879,250.75517137718268,251.88247700932385,0.259719623436935,1.127305632141173,452.47535170310215,459.1529956907947,140.44087378215892,111.44160322716493,1.8484741163702294,322.9090533441722,67780.41850414244,12379.622244888373,102.25427984551987,1.0214890607554301e-06,78.1
moon_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=310,earthlike_humidity,moon_1.0atm,moon,101325.0,400.0,manabe_wetherald,200.0,0.13,310.0,106123.02680262153,273.58884682296826,254.16300583564407,0.2530171693466143,-19.425840987324193,521.486011667301,523.4270438748114,125.88713845285001,128.27586738279405,1.8484741163702294,673.8742758519651,69384.57848576788,6792.831577462675,138.64694579204092,8.277254948042446e-07,75.8
moon_1.0atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=320,earthlike_humidity,moon_1.0atm,moon,101325.0,400.0,manabe_wetherald,200.0,0.13,320.0,109445.71597790459,303.80772861543744,256.09267056241526,0.2473459017477898,-47.715058053022176,593.2943904997078,594.1899045167534,111.67742668844167,144.4152438739736,1.8484741163702294,1295.7099480546228,71827.89310735212,2786.8624934029144,195.15898495552244,2.5046367839006035e-07,84.3
moon_1.2atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=260,earthlike_humidity,moon_1.2atm,moon,121590.0,400.0,manabe_wetherald,200.0,0.13,260.0,121740.76728898559,179.23408733909707,237.50376014731035,0.3019785453734182,58.26967280821327,189.12007430280804,259.1089438147328,182.49170359671297,55.01205655059738,1.8484741163702294,8.203213077024344,78575.44864025281,46717.09018060003,39.92534652676111,9.947496972792383e-07,93.9
moon_1.2atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=270,earthlike_humidity,moon_1.2atm,moon,121590.0,400.0,manabe_wetherald,200.0,0.13,270.0,121951.94764573182,196.3156514452132,239.3046743449623,0.2966856744431938,42.9890228997491,235.3224177739116,301.32071748151236,171.90952509225747,67.39514925270484,1.8484741163702294,22.615094914847123,78837.10122488794,38903.250506181605,49.05366590450437,9.819461811535656e-07,76.8
moon_1.2atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=280,earthlike_humidity,moon_1.2atm,moon,121590.0,400.0,manabe_wetherald,200.0,0.13,280.0,122353.65437462316,212.66367106971705,241.30733397571632,0.29079987546589003,28.643662905999264,298.14516364837846,348.48447419290636,160.12314878555847,81.18418519015785,1.8484741163702294,57.7895206918689,79250.81923943688,31391.110995410567,60.31365238491723,9.627888817843484e-07,74.5
moon_1.2atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=290,earthlike_humidity,moon_1.2atm,moon,121590.0,400.0,manabe_wetherald,200.0,0.13,290.0,123068.30544003293,227.79922262416252,243.50563835860245,0.28433907828902666,15.706415734439929,376.4197297931057,400.9687230215511,147.45919410561092,96.04644425299153,1.8484741163702294,136.38978114006068,79905.98180076716,24017.36352007417,75.10004391474543,9.317350905488333e-07,92.2
moon_1.2atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=300,earthlike_humidity,moon_1.2atm,moon,121590.0,400.0,manabe_wetherald,200.0,0.13,300.0,124313.27254160879,243.81363279535253,245.90558366728112,0.27728566021114404,2.0919508719285886,452.4220282024564,459.1529956907947,133.6866250010668,112.21895866621432,1.8484741163702294,305.784106860378,80957.12616684158,16703.648595090053,96.16874122337575,8.747545689347815e-07,78.6
moon_1.2atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=310,earthlike_humidity,moon_1.2atm,moon,121590.0,400.0,manabe_wetherald,200.0,0.13,310.0,126388.02680262153,264.4783086378565,248.31434058416679,0.2702063448945213,-16.16396805368973,521.4847801793918,523.4270438748114,119.47371926050748,128.84062132365932,1.8484741163702294,642.1199787184712,82599.66627822882,9988.746119709045,127.44230032956351,7.550489513407749e-07,81.0
moon_1.2atm|manabe_wetherald|co2=400|strat=200|albedo=0.13|ts=320,earthlike_humidity,moon_1.2atm,moon,121590.0,400.0,manabe_wetherald,200.0,0.13,320.0,129710.71597790459,292.19747582279757,250.48915526743772,0.26381458373748334,-41.70832055535985,593.3027355599763,594.1899045167534,105.70369082405348,144.78546444338423,1.8484741163702294,1248.4453573378087,85093.01280243098,4725.477288582844,175.06599972817563,4.44233312532198e-07,85.4
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=250,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,250.0,101401.01266951025,178.25627729392906,280.56732099250723,0.17541512017155803,102.31104369857817,120.41424602179957,221.49233757285802,255.3620133659307,25.20530762657654,1.8484741163702294,0.716555078361319,10346.065373078822,45552.36051953372,5.254205966557206,3.5696050858163486e-06,80.1
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=270,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,270.0,101795.0618775738,219.4456896778283,283.2178548282035,0.16762522462471646,63.77216515037517,204.80165652178482,301.32071748151236,240.3014899993821,42.91636482882137,1.8484741163702294,5.848784585053377,10387.589261052895,31865.579881632508,8.006260887686784,5.102805392749478e-06,102.7
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=290,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,290.0,103244.87719484796,256.6676292605531,286.8609557652728,0.15691818312833195,30.19332650471972,336.59041689436515,400.9687230215511,218.51627279772708,68.34468296754574,1.8484741163702294,39.03997239768352,10537.601657794039,18848.416339437186,12.409846596708395,8.626922988112294e-06,109.1
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=300,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,300.0,104861.71758650494,269.1396879572802,289.0091633899365,0.15060461988168036,19.86947543265626,429.8346736903417,459.1529956907947,205.0065178523776,84.00264553755886,1.8484741163702294,93.58630195029335,10704.063565233464,12549.06754302467,15.9975606951096,1.295744202475037e-05,97.9
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=310,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,310.0,107556.20363976824,277.83564808252163,291.27863762439836,0.1439346551392523,13.442989541876727,514.7089578707239,523.4270438748114,189.86100685017425,101.41763077422411,1.8484741163702294,211.62875317962113,10980.828675672297,7008.203084954053,21.25970478468874,2.320192709728034e-05,92.8
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=320,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,320.0,111871.38438688908,286.2591395582289,293.3883609648674,0.1377341968641478,7.1292214066384645,590.8353326078385,594.1899045167534,173.63213194416258,119.75622902070481,1.8484741163702294,443.5832839362905,11423.310373455779,2996.3384594818776,29.023553815042266,5.426756816543069e-05,102.5
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=330,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,330.0,118538.97117053081,293.93310147615017,295.08493697739374,0.132747974939014,1.1518355012435677,670.1162401710196,671.8488378672923,157.30619059932934,137.7787463780644,1.8484741163702294,856.2936455104224,12106.270826109161,863.481610597699,40.35096901445404,0.0001883120689452991,129.4
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=340,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,340.0,128514.00308877362,298.15425827397996,296.2810961465966,0.12923247369922716,-1.8731621273833525,755.8716802559982,756.8181474228612,141.5284840304464,154.7526121161502,1.8484741163702294,1533.982880684685,13127.477808518783,143.89663237767917,56.37042290169871,0.0011300049098352525,139.2
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=350,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,350.0,143008.06781166705,299.46243053843006,296.8741372057277,0.12748953126121595,-2.588293332702335,848.9608561464931,849.517894857366,126.227568163538,170.64656904218972,1.8484741163702294,2590.5123655159605,14611.08254539742,14.533593444574652,76.79512711438153,0.011188149051053569,124.6
earth_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=360,saturated,earth_1.0atm,earth,101325.0,400.0,saturated,200.0,0.13,360.0,163519.65721091203,299.25694251383925,296.7507222026852,0.12785224686577334,-2.5062203111540384,950.0214841191054,950.3725262191209,111.45123050164574,185.29949170103947,1.8484741163702294,4183.8418990891305,16710.669971651925,2.4563254593895514,95.3469405281988,0.06619807516401922,113.5
