layout,water_fraction,participating_atmosphere,olr_at_273_w_m2,olr_slope_w_m2_k,heat_transport_w_m2_k,water_depth_m,global_mean_K,minimum_K,maximum_K,grid_time_fraction_273_313,freezing_flag,radiative_extrapolation_flag,max_discrete_energy_residual_W_m2,periodic_residual_K,quadrature_normalization,status,land_min_K,land_max_K,water_min_K,water_max_K
concentrated,0.5,0.02,200.0,2.0,1.0,10.0,280.3287500000005,240.97290958320872,341.7152781751023,0.5990162037037037,True,True,1.080818254366674e-11,3.0678400027999177e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,240.97290958320872,341.7152781751023,265.46492261793793,294.3440680776535
concentrated,0.5,0.02,220.0,2.0,0.3,10.0,270.32875000000035,223.96170251112864,339.92163997718626,0.41043595679012346,True,False,6.366027731124379e-12,9.419787466383088e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,223.96170251112864,339.92163997718626,248.5118074618206,288.9485568832951
concentrated,0.5,0.02,220.0,2.0,1.0,10.0,270.32875000000007,230.97290958320858,331.7152781751021,0.37712191358024694,True,False,5.656638090387893e-12,2.1394466066287708e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,230.97290958320858,331.7152781751021,255.46492261793765,284.3440680776531
concentrated,0.5,0.1,180.0,2.0,0.3,10.0,290.3287499999992,261.94788361206656,323.8368403324634,0.7774884259259259,True,False,4.06692773050302e-11,1.6657606824557645e-12,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,261.94788361206656,323.8368403324634,270.2450359026957,307.5439883809499
concentrated,0.5,0.1,180.0,2.0,1.0,10.0,290.3287499999994,270.6616596573767,317.7211510334747,0.9606095679012345,True,False,3.587602081791204e-11,8.56229888742213e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,270.6616596573767,317.7211510334747,278.33058823300655,301.4650056559277
concentrated,0.5,0.1,200.0,2.0,0.3,10.0,280.3287499999995,251.94788361206668,313.8368403324634,0.6372299382716049,True,False,1.8300404827450924e-11,9.833038903654422e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,251.94788361206668,313.8368403324634,260.2450359026961,297.54398838094994
concentrated,0.5,0.1,200.0,2.0,1.0,10.0,280.32874999999956,260.66165965737684,307.72115103347477,0.7194251543209876,True,False,1.8321963702205577e-11,4.663565252776228e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,260.66165965737684,307.72115103347477,268.330588233007,291.4650056559278
concentrated,0.5,0.1,220.0,2.0,0.3,10.0,270.3287499999998,241.94788361206682,303.83684033246345,0.4804398148148148,True,False,1.0495578859724253e-11,6.306122931709773e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,241.94788361206682,303.83684033246345,250.24503590269654,287.54398838095017
concentrated,0.5,0.1,220.0,2.0,1.0,10.0,270.32874999999973,250.661659657377,297.7211510334749,0.3949652777777778,True,False,6.406065641383023e-12,3.752567823211409e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,250.661659657377,297.7211510334749,258.3305882330074,281.46500565592794
concentrated,0.5,1.0,180.0,2.0,0.3,10.0,290.3287499999993,271.6679366159704,306.10218912278896,0.8155671296296296,True,False,7.433236945802178e-11,1.0170460328358817e-12,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,271.6679366159704,306.10218912278896,272.12606440737136,305.25214046309014
concentrated,0.5,1.0,180.0,2.0,1.0,10.0,290.32875000000047,280.76548864312315,299.13666473694434,1.0,False,False,6.569059717392691e-11,5.777315520670052e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,280.76548864312315,299.13666473694434,281.1942436032068,298.2845026065099
concentrated,0.5,1.0,200.0,2.0,0.3,10.0,280.32874999999956,261.6679366159706,296.1021891227891,0.6666666666666666,True,False,3.6546230732764415e-11,8.110940818925389e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,261.6679366159706,296.1021891227891,262.1260644073716,295.2521404630903
concentrated,0.5,1.0,200.0,2.0,1.0,10.0,280.32875000000035,270.765488643123,289.1366647369442,0.696141975308642,True,False,3.326547207306719e-11,3.077827998150828e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,270.765488643123,289.1366647369442,271.19424360320653,288.28450260650965
concentrated,0.5,1.0,220.0,2.0,0.3,10.0,270.32874999999984,251.66793661597086,286.10218912278924,0.5958140432098765,True,False,2.474265858002926e-11,6.875671438594172e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,251.66793661597086,286.10218912278924,252.12606440737204,285.2521404630904
concentrated,0.5,1.0,220.0,2.0,1.0,10.0,270.3287500000002,260.7654886431228,279.13666473694406,0.4161265432098765,True,False,2.0061559572289477e-11,2.1649113155957615e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,260.7654886431228,279.13666473694406,261.1942436032063,278.2845026065095
distributed,0.5,0.02,180.0,2.0,0.3,10.0,290.3287500000002,264.9471307264266,339.69848577263684,0.7240740740740741,True,False,1.8881981139284814e-11,4.4514136751085193e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,264.9471307264266,339.69848577263684,268.98031432015966,309.47679221383515
distributed,0.5,0.02,180.0,2.0,1.0,10.0,290.32874999999996,276.7416019767702,313.28369168260883,0.9946759259259259,False,False,1.8505085810984696e-11,2.60299565913417e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,276.7416019767702,313.28369168260883,277.82498930302705,303.65901376939985
distributed,0.5,0.02,200.0,2.0,0.3,10.0,280.3287500000001,254.9471307264266,329.69848577263656,0.5418981481481482,True,False,1.0001521313263421e-11,4.1840420753249696e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,254.9471307264266,329.69848577263656,258.9803143201596,299.476792213835
distributed,0.5,0.02,200.0,2.0,1.0,10.0,280.32874999999996,266.74160197677037,303.2836916826087,0.7847222222222222,True,False,8.107388092445639e-12,3.204724483910781e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,266.74160197677037,303.2836916826087,267.82498930302734,293.65901376939985
distributed,0.5,0.02,220.0,2.0,0.3,10.0,270.32874999999996,244.94713072642656,319.69848577263633,0.4009259259259259,True,False,7.316671446496282e-12,3.095309963137188e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,244.94713072642656,319.69848577263633,248.98031432015964,289.47679221383476
distributed,0.5,0.02,220.0,2.0,1.0,10.0,270.3287499999999,256.74160197677054,293.2836916826087,0.3416666666666667,True,False,5.04593163230813e-12,3.065438494815674e-13,0.9797811487312983,UNCALIBRATED_LINEAR_THERMAL_SCREEN_NOT_HABITABILITY_PROOF,256.74160197677054,293.2836916826087,257.82498930302745,283.6590137693999
