status,tc,te,ph,sigma,mass_kg,column_kg_m2,exo_R,exo_T,exo_p_Pa,lambda_N2,loss_N2_kg_s,loss_O2_kg_s,loss_kg_s,lifetime_yr
no_exobase_below_30R,180,600,0.1,,,,,,,,,,,
no_exobase_below_30R,180,600,10,,,,,,,,,,,
hydrostatic_proxy,210,230,0.001,5.5e-19,3.1548712693592796e+18,78810.15509620747,2.937138289145013,229.49269164630567,1.6320220775519984e-08,14.105313842783229,0.07613765672205569,0.0026295859843571004,0.07876724270641279,1269205755976.9663
hydrostatic_proxy,210,230,0.1,5.5e-19,3.154871317986636e+18,78810.15534596215,3.0339012715298073,229.89304018382114,1.5295790665719175e-08,13.631659850351625,0.1183287244907623,0.004370393148428652,0.12269911763919096,814772276197.6086
hydrostatic_proxy,210,230,10,5.5e-19,3.154873635506286e+18,78810.17141069759,3.1389740843789977,229.97747335820495,1.4288918484563334e-08,13.1705217463134,0.1817073204021726,0.007164198292620237,0.18887151869479285,529311743215.43787
hydrostatic_proxy,210,250,0.001,5.5e-19,3.154871270600108e+18,78810.15510056046,3.1171706960430487,249.02483549907117,1.4489508359451906e-08,12.248213879431352,0.41059953177380926,0.0184467478210022,0.42904627959481145,233009450540.26822
hydrostatic_proxy,210,250,0.1,5.5e-19,3.1548713692175626e+18,78810.15560360739,3.3508847204177763,249.79979329990056,1.2538796220813016e-08,11.358590596849348,0.9309231706727427,0.04743225070777346,0.9783554213805161,102183561111.83583
hydrostatic_proxy,210,250,10,5.5e-19,3.154876056036022e+18,78810.18792079421,3.630221232744399,249.9591088292559,1.0683378978324075e-08,10.47789273094073,2.085214970200881,0.12033038961316782,2.205545359814049,45327559943.93852
hydrostatic_proxy,210,260,0.001,5.5e-19,3.154871271238592e+18,78810.15510276737,3.218873926747433,258.8068575404406,1.3588355005913415e-08,11.412906559433694,0.8700363652604043,0.04399074794927461,0.9140271132096789,109375133888.43204
hydrostatic_proxy,210,260,0.1,5.5e-19,3.154871395397419e+18,78810.15573383585,3.5435525419720824,259.75889713804116,1.1212360846268376e-08,10.329200315190585,2.342682813551308,0.13805773028358162,2.4807405438348895,40299192943.72418
hydrostatic_proxy,210,260,10,5.5e-19,3.154877287291075e+18,78810.19624969448,3.956476457157734,259.95173608405713,8.994098663011118e-09,9.244314244811639,6.266081163015149,0.4303771133884539,6.696458276403603,14929090034.718468
hydrostatic_proxy,210,300,0.001,5.5e-19,3.1548712739308513e+18,78810.15511181278,3.737619703927653,298.0559651564258,1.0078237716563067e-08,8.534598195270611,11.074872522284087,0.8406895704968924,11.915562092780979,8390022828.284865
hydrostatic_proxy,210,300,0.1,5.5e-19,3.154871504316623e+18,78810.15626465593,4.74301803353851,299.6426742867939,6.258428113539125e-09,6.689868295653858,56.35835851661511,5.544087323124396,61.90244583973951,1614990230.4277587
hydrostatic_proxy,210,300,10,5.5e-19,3.154882363864948e+18,78810.23007917832,6.868287849896199,299.93985468593917,2.9845430421036816e-09,4.61522993991299,327.48824462538073,43.010669461343824,370.49891408672454,269831261.5450277
hydrostatic_proxy,210,350,0.001,5.5e-19,3.1548712777008123e+18,78810.15512367657,4.8927767990849516,347.47293716039684,5.881173761115548e-09,5.592417917750122,134.44422358678378,15.417562570662666,149.86178615744643,667093597.728173
no_exobase_below_30R,210,350,0.1,,,,,,,,,,,
no_exobase_below_30R,210,350,10,,,,,,,,,,,
hydrostatic_proxy,210,400,0.001,5.5e-19,3.1548712824817833e+18,78810.15513638071,10.359483815290703,397.9200488278833,1.3118935650951706e-09,2.306439518996306,1684.6236071860449,302.3939113695013,1987.0175185555463,50312509.73263435
no_exobase_below_30R,210,400,0.1,,,,,,,,,,,
no_exobase_below_30R,210,400,10,,,,,,,,,,,
no_exobase_below_30R,210,600,0.001,,,,,,,,,,,
no_exobase_below_30R,210,600,0.1,,,,,,,,,,,
no_exobase_below_30R,210,600,10,,,,,,,,,,,
