layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
39,483.236,224.425,194.955,3.49318e-07,0.28777,-0.287427,0.17854,5.07634,43.0244,2.63772e-11,1.68865e-17,4.28484e-07,5.16151e-18,1.29038e-11,2.47955e-13,3.36209e-13,4.59073e-07,2.85671e-08,4.19765e-10,1.56029e-15,8.20319e-16,2.88435e-10,3.04511e-07,1.90847e-13,0.000272098,0.00713279
40,420.014,230.672,197.372,3.49318e-07,0.330187,-0.329725,0.212662,5.84426,40.0231,4.24965e-11,2.38989e-17,4.68885e-07,1.19942e-17,1.65614e-11,3.68122e-13,3.88166e-13,4.54559e-07,3.07539e-08,4.6438e-10,1.87731e-15,8.32241e-16,2.8389e-10,3.02554e-07,2.89661e-13,0.000300248,0.00714968
41,365.064,237.039,199.982,3.49318e-07,0.379133,-0.378567,0.253444,6.7406,37.2505,6.85916e-11,3.38499e-17,5.08659e-07,2.76326e-17,2.07224e-11,5.40218e-13,4.28143e-13,4.49883e-07,3.30781e-08,5.10488e-10,2.23673e-15,8.25214e-16,2.70063e-10,3.00482e-07,4.34244e-13,0.000334085,0.00716506
42,317.303,243.535,202.773,3.49318e-07,0.435636,-0.434924,0.301915,7.78465,34.5099,1.1079e-10,4.79224e-17,5.46064e-07,6.26055e-17,2.52051e-11,7.82656e-13,4.50091e-13,4.4507e-07,3.55431e-08,5.55961e-10,2.64843e-15,7.99439e-16,2.47027e-10,2.98292e-07,6.41698e-13,0.000375099,0.00717907
43,275.79,250.168,205.713,3.49318e-07,0.500165,-0.499379,0.359013,8.98411,31.9144,1.78772e-10,6.77083e-17,5.79183e-07,1.38604e-16,2.97602e-11,1.11918e-12,4.51568e-13,4.40148e-07,3.81489e-08,5.97647e-10,3.12642e-15,7.55675e-16,2.16264e-10,2.95986e-07,9.32327e-13,0.000425109,0.00719184
44,239.708,256.943,208.749,3.49318e-07,0.573389,-0.572593,0.425408,10.3441,29.495,2.87581e-10,9.52348e-17,6.06226e-07,2.98437e-16,3.41087e-11,1.58009e-12,4.34952e-13,4.3515e-07,4.08909e-08,6.31726e-10,3.68122e-15,6.94295e-16,1.80567e-10,2.93569e-07,1.32815e-12,0.000485893,0.0072035
45,208.347,263.865,211.822,3.49318e-07,0.655162,-0.654593,0.501286,11.8485,27.269,4.60172e-10,1.33018e-16,6.25868e-07,6.23334e-16,3.80084e-11,2.20392e-12,4.0743e-13,4.30113e-07,4.37585e-08,6.54456e-10,4.3099e-15,6.16055e-16,1.43517e-10,2.91048e-07,1.85034e-12,0.000559219,0.00721413
46,181.089,270.937,214.869,3.49318e-07,0.745005,-0.744943,0.586167,13.4655,25.2704,7.30861e-10,1.84041e-16,6.37547e-07,1.2623e-15,4.13125e-11,3.03733e-12,3.79337e-13,4.25077e-07,4.67356e-08,6.62948e-10,4.98728e-15,5.2381e-16,1.08623e-10,2.88438e-07,2.51605e-12,0.000646522,0.00722382
47,157.397,278.16,217.823,3.49318e-07,0.841875,-0.842771,0.678846,15.1501,23.4504,1.14972e-09,2.51687e-16,6.41566e-07,2.48182e-15,4.40079e-11,4.13183e-12,3.61644e-13,4.2008e-07,4.97997e-08,6.55686e-10,5.66381e-15,4.23707e-16,7.85025e-11,2.85756e-07,3.33546e-12,0.000748629,0.00723261
48,136.805,285.533,220.64,3.49318e-07,0.945471,-0.947543,0.779021,16.865,21.8354,1.7917e-09,3.40283e-16,6.38775e-07,4.76313e-15,4.62245e-11,5.546e-12,3.63635e-13,4.15162e-07,5.29235e-08,6.32744e-10,6.28315e-15,3.24768e-16,5.44396e-11,2.83025e-07,4.30998e-12,0.000867262,0.00724243
