layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
11,24391.1,68.9224,191.49,4.40958e-07,0.0224198,-0.0233065,0.00135675,0.375184,289.275,1.73929e-16,4.52871e-22,2.05069e-08,3.54253e-24,4.64774e-15,6.59762e-16,6.11032e-14,5.27651e-07,2.02091e-10,8.54048e-12,1.0118e-17,3.96509e-17,1.16271e-11,3.28488e-07,7.93215e-34,7.9076e-06,0.00532488
12,21201.1,74.0662,189.865,4.40958e-07,0.0248429,-0.024159,0.00204656,0.415851,274.572,3.67336e-16,8.67675e-22,3.31334e-08,3.17164e-24,3.7631e-15,3.84901e-16,5.84933e-15,5.26688e-07,3.78053e-10,2.07065e-11,1.5181e-17,1.20913e-16,1.95897e-11,3.27189e-07,1.05736e-31,8.25689e-06,0.00544066
13,18428.3,79.2062,189.047,4.40958e-07,0.0274954,-0.0276725,0.00284367,0.460588,257.905,6.84461e-16,1.45245e-21,4.65252e-08,3.90813e-24,3.98976e-15,3.52919e-16,6.6507e-16,5.25675e-07,5.61169e-10,3.57302e-11,2.28886e-17,2.65201e-16,2.87294e-11,3.25811e-07,1.01143e-29,8.61233e-06,0.00554406
14,16018.2,84.3574,188.551,4.40958e-07,0.0303714,-0.0301481,0.00374237,0.509046,240.075,1.19226e-15,2.2695e-21,6.07835e-08,5.31574e-24,4.59588e-15,3.74518e-16,1.63532e-16,5.24604e-07,7.53605e-10,5.26068e-11,3.2244e-17,4.65208e-16,3.89761e-11,3.24346e-07,6.81903e-28,8.98919e-06,0.00563842
15,13923.2,89.5296,188.439,4.40958e-07,0.0335687,-0.0335912,0.00475134,0.563252,221.324,2.00299e-15,3.412e-21,7.6054e-08,7.66494e-24,5.52195e-15,4.30474e-16,1.25224e-16,5.23466e-07,9.5704e-10,7.12487e-11,4.37203e-17,7.21594e-16,5.04171e-11,3.22779e-07,3.18233e-26,9.39689e-06,0.00572631
16,12102.3,94.7315,188.57,4.40958e-07,0.0370944,-0.0370065,0.00587785,0.623313,201.568,3.28322e-15,5.00364e-21,9.24696e-08,1.14313e-23,6.81769e-15,5.19529e-16,1.41418e-16,5.22252e-07,1.17293e-09,9.13997e-11,5.77174e-17,1.03079e-15,6.31568e-11,3.211e-07,1.02934e-24,9.84127e-06,0.00580964
17,10519.5,99.9698,188.921,4.40958e-07,0.0410655,-0.0410502,0.00713611,0.691061,181.436,5.2952e-15,7.21832e-21,1.10196e-07,1.74566e-23,8.57714e-15,6.4913e-16,1.71925e-16,5.20954e-07,1.40261e-09,1.13126e-10,7.50213e-17,1.39544e-15,7.73432e-11,3.19296e-07,2.35064e-23,1.0326e-05,0.0058897
18,9143.7,105.25,189.4,4.40958e-07,0.0454943,-0.0454522,0.0085385,0.766713,162.006,8.43161e-15,1.02902e-20,1.29409e-07,2.70476e-23,1.0945e-14,8.30973e-16,2.14878e-16,5.19565e-07,1.64752e-09,1.36245e-10,9.62168e-17,1.80986e-15,9.30912e-11,3.17355e-07,3.89387e-22,1.08535e-05,0.00596726
19,7947.84,110.575,189.97,4.40958e-07,0.0504563,-0.0504402,0.0101022,0.850749,144.138,1.32951e-14,1.45427e-20,1.50319e-07,4.23311e-23,1.41195e-14,1.08346e-15,2.73426e-16,5.18076e-07,1.909e-09,1.60705e-10,1.22132e-16,2.26972e-15,1.10506e-10,3.15263e-07,4.81928e-21,1.14257e-05,0.00604271
20,6908.39,115.948,190.577,4.40958e-07,0.0559698,-0.0559463,0.0118454,0.943516,128.073,2.07911e-14,2.04169e-20,1.73173e-07,6.66553e-23,1.8376e-14,1.43214e-15,3.5285e-16,5.16479e-07,2.18849e-09,1.86311e-10,1.53489e-16,2.76336e-15,1.29659e-10,3.13007e-07,4.58716e-20,1.20443e-05,0.00611612
21,6004.87,121.369,191.176,4.40958e-07,0.0620548,-0.0620395,0.0137906,1.04464,113.982,3.22824e-14,2.85176e-20,1.98267e-07,1.05323e-22,2.40921e-14,1.91291e-15,4.60764e-16,5.14767e-07,2.48742e-09,2.12842e-10,1.91098e-16,3.27675e-15,1.50599e-10,3.10575e-07,3.44971e-19,1.27113e-05,0.00618736
22,5219.53,126.839,191.733,4.40958e-07,0.0687389,-0.0687273,0.0159653,1.15469,102.048,4.9814e-14,3.96772e-20,2.25966e-07,1.66735e-22,3.17893e-14,2.57646e-15,6.08064e-16,5.12933e-07,2.8071e-09,2.40048e-10,2.35858e-16,3.79443e-15,1.73373e-10,3.07955e-07,2.10087e-18,1.34288e-05,0.00625619
23,4536.89,132.356,192.236,4.40958e-07,0.0760675,-0.0760556,0.0184076,1.27435,92.1928,7.6487e-14,5.50561e-20,2.56724e-07,2.64461e-22,4.21847e-14,3.49649e-15,8.10136e-16,5.10971e-07,3.14863e-09,2.67849e-10,2.89176e-16,4.30868e-15,1.98071e-10,3.05132e-07,1.05947e-17,1.41996e-05,0.00632231
24,3943.54,137.92,192.694,4.40958e-07,0.0840926,-0.0840896,0.0211694,1.40468,83.9961,1.17041e-13,7.6288e-20,2.91115e-07,4.20805e-22,5.62688e-14,4.7819e-15,1.08873e-15,5.08871e-07,3.51278e-09,2.9636e-10,3.53238e-16,4.82195e-15,2.24847e-10,3.02093e-07,4.51461e-17,1.50277e-05,0.00638544
25,3427.78,143.53,193.133,4.40958e-07,0.0929872,-0.0929787,0.0243228,1.54901,77.0489,1.78827e-13,1.05708e-19,3.29879e-07,6.7351e-22,7.54073e-14,6.59755e-15,1.47446e-15,5.06628e-07,3.90001e-09,3.26027e-10,4.31568e-16,5.35127e-15,2.53955e-10,2.98824e-07,1.65557e-16,1.5918e-05,0.00644531
26,2979.48,149.187,193.59,4.40958e-07,0.102849,-0.102852,0.0279651,1.70924,71.1417,2.73394e-13,1.46698e-19,3.73964e-07,1.08839e-21,1.01487e-13,9.19684e-15,2.01051e-15,5.04232e-07,4.31049e-09,3.57616e-10,5.29517e-16,5.92672e-15,2.85738e-10,2.95307e-07,5.31239e-16,1.68773e-05,0.00650175
27,2589.81,154.892,194.11,4.40958e-07,0.11407,-0.114065,0.032226,1.89247,66.1315,4.19147e-13,2.0422e-19,4.24574e-07,1.78453e-21,1.37116e-13,1.2976e-14,2.75807e-15,5.01674e-07,4.74419e-09,3.92264e-10,6.55105e-16,6.59173e-15,3.20605e-10,2.91522e-07,1.51434e-15,1.79151e-05,0.00655462
28,2251.1,160.649,194.726,4.40958e-07,0.126817,-0.126822,0.0372716,2.10196,61.7181,6.45533e-13,2.856e-19,4.83199e-07,2.98435e-21,1.85914e-13,1.85543e-14,3.80543e-15,4.9894e-07,5.20122e-09,4.31234e-10,8.19465e-16,7.39497e-15,3.58943e-10,2.87446e-07,3.88809e-15,1.9044e-05,0.00660388
29,1956.69,166.462,195.476,4.40958e-07,0.141763,-0.141764,0.043314,2.34945,57.6621,1.00037e-12,4.01777e-19,5.51599e-07,5.12467e-21,2.52911e-13,2.69223e-14,5.28129e-15,4.96019e-07,5.6816e-09,4.76166e-10,1.03897e-15,8.40015e-15,4.01025e-10,2.83054e-07,9.10537e-15,2.02813e-05,0.00664953
30,1700.79,172.335,196.394,4.40958e-07,0.159171,-0.159177,0.0506148,2.64003,53.8836,1.56153e-12,5.69126e-19,6.31755e-07,9.10169e-21,3.4513e-13,3.9668e-14,7.3788e-15,4.92896e-07,6.18579e-09,5.28868e-10,1.3368e-15,9.68067e-15,4.46834e-10,2.78314e-07,1.96735e-14,2.165e-05,0.00669167
31,1478.35,178.275,197.5,4.40958e-07,0.179953,-0.179958,0.0594844,2.98904,50.4148,2.45587e-12,8.12133e-19,7.25709e-07,1.68396e-20,4.72414e-13,5.93376e-14,1.03966e-14,4.89552e-07,6.71486e-09,5.91165e-10,1.74502e-15,1.13142e-14,4.95832e-10,2.73193e-07,3.96279e-14,2.31806e-05,0.00673042
32,1285,184.289,198.789,4.40958e-07,0.204459,-0.204461,0.0702745,3.40318,47.167,3.88786e-12,1.16717e-18,8.35344e-07,3.26276e-20,6.48544e-13,8.99447e-14,1.48095e-14,4.85971e-07,7.27131e-09,6.64401e-10,2.30502e-15,1.33614e-14,5.46689e-10,2.67657e-07,7.51145e-14,2.49125e-05,0.00676596
33,1116.95,190.383,200.259,4.40958e-07,0.233564,-0.233577,0.0833737,3.89672,44.1721,6.18643e-12,1.68808e-18,9.62032e-07,6.64053e-20,8.92578e-13,1.37788e-13,2.13762e-14,4.82135e-07,7.85862e-09,7.49702e-10,3.07034e-15,1.58638e-14,5.97049e-10,2.61671e-07,1.35103e-13,2.68963e-05,0.00679851
34,970.866,196.564,201.908,4.40958e-07,0.267685,-0.267685,0.0992002,4.477,41.1643,9.87608e-12,2.45413e-18,1.10635e-06,1.4181e-19,1.23009e-12,2.12479e-13,3.13022e-14,4.78027e-07,8.48187e-09,8.47741e-10,4.10631e-15,1.88189e-14,6.43387e-10,2.55199e-07,2.32273e-13,2.9195e-05,0.0068283
35,843.892,202.839,203.727,4.40958e-07,0.307235,-0.307255,0.118187,5.14936,38.3392,1.57836e-11,3.58255e-18,1.26771e-06,3.15844e-19,1.69377e-12,3.28062e-13,4.64377e-14,4.73628e-07,9.14764e-09,9.58433e-10,5.4864e-15,2.21462e-14,6.80977e-10,2.4821e-07,3.84098e-13,3.1901e-05,0.00685558
36,733.523,209.213,205.698,4.40958e-07,0.352656,-0.352651,0.140777,5.92298,35.6948,2.51934e-11,5.24398e-18,1.44429e-06,7.25457e-19,2.32119e-12,5.03418e-13,6.94098e-14,4.68925e-07,9.86429e-09,1.08052e-09,7.28252e-15,2.56506e-14,7.04221e-10,2.40677e-07,6.14154e-13,3.51209e-05,0.00688058
