layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
84,0.87877,667.837,224.232,3.49318e-07,2.17385,-2.17379,1.37591,33.0652,3.30778,7.29366e-05,1.00905e-13,2.925e-07,1.85258e-08,5.95641e-11,1.52066e-11,3.42738e-15,2.54941e-07,2.9658e-08,1.25533e-13,1.19018e-18,2.22373e-28,9.7144e-20,1.01928e-09,2.90796e-10,0.00352443,0.00728903
85,0.763801,678.523,221.709,3.49318e-07,2.2263,-2.22625,1.37332,33.9307,3.20024,9.09628e-05,1.1328e-13,2.89928e-07,2.01409e-08,4.81074e-11,1.17749e-11,1.84644e-15,2.54755e-07,2.96592e-08,1.04872e-13,9.21025e-19,1.14961e-28,5.25606e-20,9.65156e-10,2.9114e-10,0.0035266,0.00728178
86,0.663873,689.175,218.919,3.49318e-07,2.25433,-2.25429,1.34064,34.3578,3.14249,0.000110191,1.2406e-13,2.80994e-07,2.15229e-08,3.88212e-11,9.24898e-12,1.02821e-15,2.54589e-07,2.96601e-08,8.84933e-14,7.14408e-19,6.05954e-29,2.89199e-20,9.17728e-10,2.91442e-10,0.00352777,0.00727688
87,0.577019,699.78,215.945,3.49318e-07,2.26612,-2.26608,1.2811,34.5577,3.12276,0.000129963,1.327e-13,2.66275e-07,2.26766e-08,3.12957e-11,7.36963e-12,5.92239e-16,2.54447e-07,2.96609e-08,7.53002e-14,5.55108e-19,3.24425e-29,1.6152e-20,8.76325e-10,2.91705e-10,0.00353063,0.00727693
88,0.501527,710.329,212.865,3.49318e-07,2.26699,-2.26696,1.20001,34.6854,3.14018,0.000149665,1.38864e-13,2.4709e-07,2.36189e-08,2.52164e-11,5.95179e-12,3.52025e-16,2.54328e-07,2.96614e-08,6.45355e-14,4.31835e-19,1.75816e-29,9.13685e-21,8.40301e-10,2.91932e-10,0.00353399,0.00727698
89,0.435913,720.815,209.762,3.49318e-07,2.26868,-2.26865,1.10332,34.4241,3.18263,0.000168751,1.4239e-13,2.24842e-07,2.43729e-08,2.03199e-11,4.86588e-12,2.15169e-16,2.54231e-07,2.96619e-08,5.56414e-14,3.35962e-19,9.60669e-30,5.22486e-21,8.09096e-10,2.92126e-10,0.00353674,0.00727702
90,0.378882,731.237,206.694,3.49318e-07,2.27762,-2.27759,0.997438,34.3566,3.25054,0.000186793,1.43322e-13,2.009e-07,2.49652e-08,1.63855e-11,4.0217e-12,1.34693e-16,2.54155e-07,2.96623e-08,4.82044e-14,2.6109e-19,5.27266e-30,3.01432e-21,7.82189e-10,2.9229e-10,0.00353894,0.00727706
91,0.329313,741.594,203.725,3.49318e-07,2.30865,-2.30863,0.887888,33.9685,3.33014,0.000203459,1.41806e-13,1.76428e-07,2.54219e-08,1.32297e-11,3.35586e-12,8.6021e-17,2.54095e-07,2.96625e-08,4.19145e-14,2.02371e-19,2.89532e-30,1.75172e-21,7.5914e-10,2.9243e-10,0.00354068,0.00727709
92,0.286229,751.89,200.892,3.49318e-07,2.36677,-2.36674,0.779679,33.7671,3.41114,0.000218525,1.38125e-13,1.52454e-07,2.57679e-08,1.0703e-11,2.82379e-12,5.5851e-17,2.5405e-07,2.96627e-08,3.65424e-14,1.56244e-19,1.58532e-30,1.02388e-21,7.39549e-10,2.92547e-10,0.00354208,0.00727712
93,0.248782,762.13,198.216,3.49318e-07,2.46564,-2.46564,0.676756,34.2329,3.54296,0.000231834,1.32625e-13,1.2977e-07,2.60248e-08,8.68322e-12,2.39385e-12,3.67696e-17,2.54016e-07,2.96629e-08,3.19167e-14,1.20021e-19,1e-30,6.01481e-22,7.23091e-10,2.92647e-10,0.00354318,0.00727714
94,0.216234,772.32,195.717,3.49318e-07,2.60801,-2.608,0.581871,34.0441,3.63562,0.0002433,1.2567e-13,1.08909e-07,2.62113e-08,7.06942e-12,2.04282e-12,2.44833e-17,2.53992e-07,2.9663e-08,2.79063e-14,9.16204e-20,1e-30,3.54815e-22,7.09481e-10,2.92731e-10,0.00354402,0.00727716
95,0.187944,782.47,193.471,3.49318e-07,2.83273,-2.83273,0.496085,34.3116,3.70906,0.000252871,1.17515e-13,9.00569e-08,2.63428e-08,5.77715e-12,1.75265e-12,1.64454e-17,2.53975e-07,2.9663e-08,2.44003e-14,6.93293e-20,1e-30,2.10058e-22,6.98492e-10,2.92803e-10,0.00354466,0.00727717
96,0.163355,792.59,191.468,3.49318e-07,3.14118,-3.14117,0.420799,34.991,3.78351,0.000260538,1.08546e-13,7.34393e-08,2.64322e-08,4.74215e-12,1.51117e-12,1.11219e-17,2.53963e-07,2.96631e-08,2.13253e-14,5.19632e-20,1e-30,1.24855e-22,6.89921e-10,2.92865e-10,0.00354514,0.00727719
97,0.141984,802.704,190.19,3.49318e-07,3.88452,-3.88455,0.353147,37.2044,3.73682,0.000266299,9.84039e-14,5.84532e-08,2.64892e-08,3.89769e-12,1.30322e-12,7.5608e-18,2.53956e-07,2.96631e-08,1.85595e-14,3.81103e-20,1e-30,7.48478e-23,6.8362e-10,2.92919e-10,0.0035455,0.0072772
98,0.123408,812.846,189.471,3.49318e-07,5.06581,-5.0658,0.296204,39.7812,3.66113,0.00027018,8.78257e-14,4.56029e-08,2.65223e-08,3.21321e-12,1.12543e-12,5.26942e-18,2.53951e-07,2.96631e-08,1.60932e-14,2.74071e-20,1e-30,4.65981e-23,6.79449e-10,2.92966e-10,0.00354578,0.00727721
99,0.107262,822.996,187.487,3.49318e-07,5.64978,-5.6498,0.261051,37.8873,3.49125,0.000272132,7.94496e-14,3.64348e-08,2.6537e-08,2.69946e-12,9.89795e-13,4.0922e-18,2.53949e-07,2.96631e-08,1.40818e-14,2.01591e-20,1e-30,3.35983e-23,6.77378e-10,2.93013e-10,0.003546,0.00727722
